|emp_no|emp_name|org_cd|position|salary   |gender|ent_date           |mod_dtm            |
|------|--------|------|--------|---------|------|-------------------|-------------------|
|1001  |김현광     |01    |대표이사    |225996000|M     |0001-11-09 00:00:00|0001-03-29 00:00:00|
|1002  |이유섭     |02    |본부장     |145000000|M     |0001-10-15 00:00:00|0001-03-29 00:00:00|
|1003  |최명화     |03    |본부장     |132996000|M     |0001-11-01 00:00:00|0001-03-29 00:00:00|
|1004  |이지은     |04    |본부장     |220992000|F     |0001-03-17 00:00:00|0001-03-29 00:00:00|
|1005  |정은지     |05    |팀장      |87992000 |F     |0001-10-18 00:00:00|0001-03-29 00:00:00|
|1006  |김성근     |06    |팀장      |86000000 |M     |0001-12-28 00:00:00|0001-03-29 00:00:00|
|1007  |장창우     |07    |팀장      |83996000 |M     |0001-09-04 00:00:00|0001-03-29 00:00:00|
|1008  |김진주     |08    |팀장      |90996000 |F     |0001-12-24 00:00:00|0001-03-29 00:00:00|
|1009  |한영수     |09    |팀장      |88992000 |M     |0001-10-09 00:00:00|0001-03-29 00:00:00|
|1010  |유홍영     |10    |팀장      |85992000 |F     |0001-09-28 00:00:00|0001-03-29 00:00:00|
|1011  |황예리     |05    |과장      |72992000 |F     |0001-08-20 00:00:00|0001-03-29 00:00:00|
|1012  |정민호     |06    |과장      |79992000 |M     |0001-04-21 00:00:00|0001-03-29 00:00:00|
|1013  |김혁근     |07    |과장      |75996000 |M     |0001-01-12 00:00:00|0001-03-29 00:00:00|
|1014  |이경탁     |08    |과장      |82000000 |M     |0001-01-04 00:00:00|0001-03-29 00:00:00|
|1015  |김성두     |09    |과장      |77992000 |M     |0001-07-25 00:00:00|0001-03-29 00:00:00|
|1016  |박경수     |10    |과장      |83996000 |M     |0001-11-05 00:00:00|0001-03-29 00:00:00|
|1017  |김한빈     |05    |대리      |70000000 |M     |0001-10-09 00:00:00|0001-03-29 00:00:00|
|1018  |이철환     |06    |대리      |74996000 |M     |0001-01-10 00:00:00|0001-03-29 00:00:00|
|1019  |최석주     |07    |대리      |68996000 |M     |0001-06-10 00:00:00|0001-03-29 00:00:00|
|1020  |이창일     |08    |대리      |62996000 |M     |0001-09-03 00:00:00|0001-03-29 00:00:00|
|1021  |홍현철     |09    |대리      |56996000 |M     |0001-03-06 00:00:00|0001-03-29 00:00:00|
|1022  |윤영현     |10    |대리      |55000000 |M     |0001-06-06 00:00:00|0001-03-29 00:00:00|
|1023  |김형욱     |05    |사원      |51996000 |M     |0001-04-22 00:00:00|0001-03-29 00:00:00|
|1024  |최계영     |06    |사원      |42996000 |M     |0001-05-27 00:00:00|0001-03-29 00:00:00|
|1025  |김홍주     |07    |사원      |32300000 |F     |0001-07-04 00:00:00|0001-03-29 00:00:00|
|1026  |목경인     |08    |사원      |41996000 |F     |0001-02-05 00:00:00|0001-03-29 00:00:00|
|1027  |한승훈     |09    |사원      |49996000 |M     |0001-05-03 00:00:00|0001-03-29 00:00:00|
|1028  |이승범     |10    |사원      |44996000 |M     |0001-08-22 00:00:00|0001-03-29 00:00:00|
|1029  |안지혜     |10    |사원      |39000000 |F     |0001-09-26 00:00:00|0001-03-29 00:00:00|
