"accno","tran_dtm","amt","tr_code"
100176,2006-01-11 00:00:00,157336,D2
100177,2006-01-12 00:00:00,850957,D1
100178,2006-01-13 00:00:00,412160,D2
100179,2006-01-14 00:00:00,834246,L2
100180,2006-01-15 00:00:00,881087,D2
100181,2006-01-16 00:00:00,860054,D1
100182,2006-01-17 00:00:00,659314,L3
100183,2006-01-18 00:00:00,570766,D2
100184,2006-01-19 00:00:00,2711,L2
100185,2006-01-20 00:00:00,907479,L2
100186,2006-01-21 00:00:00,835391,D3
100187,2006-01-22 00:00:00,161866,D2
100188,2006-01-23 00:00:00,435634,D2
100189,2006-01-24 00:00:00,679747,D1
100190,2006-01-25 00:00:00,277858,D3
100191,2006-01-26 00:00:00,566134,D2
100192,2006-01-27 00:00:00,533713,L2
100193,2006-01-28 00:00:00,229812,D2
100194,2006-01-29 00:00:00,415200,L3
100195,2006-01-30 00:00:00,439980,L3
100196,2006-01-31 00:00:00,871818,D3
100197,2006-02-01 00:00:00,469686,D1
100198,2006-02-02 00:00:00,200207,D3
100199,2006-02-03 00:00:00,511307,D2
100200,2006-02-04 00:00:00,847665,D3
100001,2006-02-05 00:00:00,758100,L3
100002,2006-02-06 00:00:00,677437,L2
100003,2006-02-07 00:00:00,74944,D2
100004,2006-02-08 00:00:00,272653,D2
100005,2006-02-09 00:00:00,508839,L3
100006,2006-02-10 00:00:00,434221,L2
100007,2006-02-11 00:00:00,935582,L3
100008,2006-02-12 00:00:00,726626,L3
100009,2006-02-13 00:00:00,912916,L2
100010,2006-02-14 00:00:00,743252,D1
100011,2006-02-15 00:00:00,237007,L3
100012,2006-02-16 00:00:00,612837,L3
100013,2006-02-17 00:00:00,967462,D2
100014,2006-02-18 00:00:00,895206,L3
100015,2006-02-19 00:00:00,913813,D2
100016,2006-02-20 00:00:00,928548,D2
100017,2006-02-21 00:00:00,424926,D2
100018,2006-02-22 00:00:00,498139,L3
100019,2006-02-23 00:00:00,688531,D1
100020,2006-02-24 00:00:00,829046,D2
100021,2006-02-25 00:00:00,653513,D2
100022,2006-02-26 00:00:00,721436,D2
100023,2006-02-27 00:00:00,758350,L2
100024,2006-02-28 00:00:00,402284,D1
100025,2006-03-01 00:00:00,298544,D2
100026,2006-03-02 00:00:00,982712,D1
100027,2006-03-03 00:00:00,568912,L3
100028,2006-03-04 00:00:00,373298,L1
100029,2006-03-05 00:00:00,316019,D2
100030,2006-03-06 00:00:00,75785,D2
100031,2006-03-07 00:00:00,126088,D2
100032,2006-03-08 00:00:00,161578,D2
100033,2006-03-09 00:00:00,339586,D2
100034,2006-03-10 00:00:00,262084,D2
100035,2006-03-11 00:00:00,729085,D2
100036,2006-03-12 00:00:00,266720,L3
100037,2006-03-13 00:00:00,285449,D2
100038,2006-03-14 00:00:00,597464,L1
100039,2006-03-15 00:00:00,433458,D2
100040,2006-03-16 00:00:00,474061,L1
100041,2006-03-17 00:00:00,711621,D2
100042,2006-03-18 00:00:00,656606,D2
100043,2006-03-19 00:00:00,415595,D3
100044,2006-03-20 00:00:00,900771,L1
100045,2006-03-21 00:00:00,122391,D2
100046,2006-03-22 00:00:00,203866,D2
100047,2006-03-23 00:00:00,942224,D2
100048,2006-03-24 00:00:00,805986,D2
100049,2006-03-25 00:00:00,839150,D2
100050,2006-03-26 00:00:00,608880,D2
100051,2006-03-27 00:00:00,137883,D2
100052,2006-03-28 00:00:00,375450,D2
100053,2006-03-29 00:00:00,665265,L2
100054,2006-03-30 00:00:00,17530,D3
100055,2006-03-31 00:00:00,375685,L3
